Cycle,Condition,Z_stack,Channel,Marker,Path,Path_corrected
2seg,Fw1,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_2seg_DAPI.tiff
2seg,Fw1,1,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_2seg_Phalloidin.tiff
2seg,Fw1,1,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_2seg_WGA.tiff
2seg,Fw1,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_2seg_DAPI.tiff
2seg,Fw1,2,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_2seg_Phalloidin.tiff
2seg,Fw1,2,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_2seg_WGA.tiff
2seg,Fw1,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_2seg_DAPI.tiff
2seg,Fw1,3,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_2seg_Phalloidin.tiff
2seg,Fw1,3,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_2seg_WGA.tiff
2seg,Fw1,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_2seg_DAPI.tiff
2seg,Fw1,4,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_2seg_Phalloidin.tiff
2seg,Fw1,4,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw1\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_2seg_WGA.tiff
2seg,Fw2,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_2seg_DAPI.tiff
2seg,Fw2,1,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_2seg_Phalloidin.tiff
2seg,Fw2,1,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_1_2seg_WGA.tiff
2seg,Fw2,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_2seg_DAPI.tiff
2seg,Fw2,2,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_2seg_Phalloidin.tiff
2seg,Fw2,2,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_2seg_WGA.tiff
2seg,Fw2,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_2seg_DAPI.tiff
2seg,Fw2,3,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_2seg_Phalloidin.tiff
2seg,Fw2,3,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_2seg_WGA.tiff
2seg,Fw2,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_2seg_DAPI.tiff
2seg,Fw2,4,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_2seg_Phalloidin.tiff
2seg,Fw2,4,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_2seg_WGA.tiff
2seg,Fw2,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_2seg_DAPI.tiff
2seg,Fw2,5,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z005_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_2seg_Phalloidin.tiff
2seg,Fw2,5,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_5_2seg_WGA.tiff
2seg,Fw2,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_2seg_DAPI.tiff
2seg,Fw2,6,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z006_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_2seg_Phalloidin.tiff
2seg,Fw2,6,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_6_2seg_WGA.tiff
2seg,Fw2,7,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z007_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_7_2seg_DAPI.tiff
2seg,Fw2,7,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z007_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_7_2seg_Phalloidin.tiff
2seg,Fw2,7,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z007_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_7_2seg_WGA.tiff
2seg,Fw2,8,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z008_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_8_2seg_DAPI.tiff
2seg,Fw2,8,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z008_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_8_2seg_Phalloidin.tiff
2seg,Fw2,8,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw2\1_00001_Z008_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_8_2seg_WGA.tiff
2seg,Fw3,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_2seg_DAPI.tiff
2seg,Fw3,1,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z001_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_2seg_Phalloidin.tiff
2seg,Fw3,1,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z001_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_2seg_WGA.tiff
2seg,Fw3,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_2seg_DAPI.tiff
2seg,Fw3,2,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z002_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_2seg_Phalloidin.tiff
2seg,Fw3,2,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z002_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_2seg_WGA.tiff
2seg,Fw3,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_2seg_DAPI.tiff
2seg,Fw3,3,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z003_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_2seg_Phalloidin.tiff
2seg,Fw3,3,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z003_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_3_2seg_WGA.tiff
2seg,Fw3,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_2seg_DAPI.tiff
2seg,Fw3,4,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z004_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_2seg_Phalloidin.tiff
2seg,Fw3,4,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z004_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_4_2seg_WGA.tiff
2seg,Fw3,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_2seg_DAPI.tiff
2seg,Fw3,5,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z005_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_2seg_Phalloidin.tiff
2seg,Fw3,5,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z005_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_5_2seg_WGA.tiff
2seg,Fw3,6,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z006_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_2seg_DAPI.tiff
2seg,Fw3,6,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z006_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_2seg_Phalloidin.tiff
2seg,Fw3,6,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z006_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_6_2seg_WGA.tiff
2seg,Fw3,7,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z007_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_7_2seg_DAPI.tiff
2seg,Fw3,7,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z007_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_7_2seg_Phalloidin.tiff
2seg,Fw3,7,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z007_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_7_2seg_WGA.tiff
2seg,Fw3,8,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z008_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_8_2seg_DAPI.tiff
2seg,Fw3,8,CH3,Phalloidin,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z008_CH3.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_8_2seg_Phalloidin.tiff
2seg,Fw3,8,CH4,WGA,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_2seg__40X8_26Fw3\1_00001_Z008_CH4.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_8_2seg_WGA.tiff
Concanavadin A,Fw1,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_Concanavadin A_DAPI.tiff
Concanavadin A,Fw1,1,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_1_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw1,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_Concanavadin A_DAPI.tiff
Concanavadin A,Fw1,2,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_2_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw1,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_Concanavadin A_DAPI.tiff
Concanavadin A,Fw1,3,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_3_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw1,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_Concanavadin A_DAPI.tiff
Concanavadin A,Fw1,4,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_4_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw1,5,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z005_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_5_Concanavadin A_DAPI.tiff
Concanavadin A,Fw1,5,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw1\1_00001_Z005_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw1_5_Concanavadin A_Concanavadin A.tiff
